"author","published_at","updated_at","like_count","text","comment_type","parent_id"
"@samogooonnn","2024-02-24T20:36:35Z","2024-02-24T20:36:35Z","0","Спасибо@@dekuk1d470","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@pallstakana001","2024-02-29T07:51:12Z","2024-02-29T07:51:12Z","0","менять платформу ради того чтобы? что","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@lawlessheaven6690","2024-03-01T21:27:08Z","2024-03-01T21:27:08Z","1","зачем менять проц если он нормальный?","Reply","UgytVlfUn868xzCx7WF4AaABAg"
"@XMPxUnki","2024-02-22T20:26:32Z","2024-02-22T20:26:32Z","0","Мужик а что делать если удалился microsoft store вместе с control panel я потыкал на возврат не вернулось","Top Level",""
"@fortunaFOREVER","2024-02-22T17:57:53Z","2024-02-22T17:57:53Z","0","а что по параметрам запуска? если не сложно ответь плс)","Top Level",""
"@Wr0ng__","2024-02-22T15:53:03Z","2024-02-22T15:53:03Z","0","настройка низкой задержки в мониторе titan army, на что ставить на высокое или низкое?<br>не понимаю если высокое поставить задержка будет высокая или наоборот низкая, также и со значением низко","Top Level",""
"@dekuk1d470","2024-02-22T16:08:38Z","2024-02-22T16:08:38Z","0","у меня предельный режим на монике стоит","Reply","UgxOgiUoYvzFxIM86Ep4AaABAg"
"@JustReBound","2024-02-21T16:10:14Z","2024-02-21T16:10:14Z","0","Знаешь кто такой Gaussjan? Если знаешь то это я","Top Level",""
"@DASXyX","2024-02-21T14:42:36Z","2024-02-21T14:42:36Z","0","если не ошибаюсь если галочку убрать то масштабирование не будет работать для бб (черные полосы по бокам) то есть экран будет растянутым энивей","Top Level",""
"@DASXyX","2024-02-21T14:44:33Z","2024-02-21T14:44:33Z","0","и еще я не понял почему ты не сказал про виды электропитании","Reply","UgwWf83HvcpLe2VkC3x4AaABAg"
"@dekuk1d470","2024-02-21T14:49:26Z","2024-02-21T14:49:26Z","0","про это забыл ролик на быструю руку@@DASXyX","Reply","UgwWf83HvcpLe2VkC3x4AaABAg"
"@zlyuchaa","2024-02-21T13:47:51Z","2024-02-21T13:47:51Z","0","полез изменять параметры в реестре винды, не обьяснил зачем, ни за что этот параметр отвечает","Top Level",""
"@dekuk1d470","2024-02-21T14:01:46Z","2024-02-21T14:01:46Z","0","братан прости меня пожалуйста мне же не впадлу сидеть обьяснять че да как в ролике который я за 10минут сделал, и я же ебнутый настройщик пк а не блять полу про игрок который сидит по 15часов в контре ало)","Reply","UgyIo3S91bkKWqAUwGl4AaABAg"
"@m0ncl3ar9","2024-02-21T11:42:48Z","2024-02-21T11:42:48Z","0","На счет настройки NVIDIA в 3d не много неправильная у тебя","Top Level",""
"@BORODACHMC","2024-02-21T11:23:50Z","2024-02-21T11:23:50Z","0","у меня ща р5 4500 и рх6600хт, как думаешь, если возьму р5 5600 сильно фпс увеличится?","Top Level",""
"@dekuk1d470","2024-02-21T12:07:04Z","2024-02-21T12:07:04Z","0","да сильно","Reply","UgxmXgtc1ivVOVlDZ4R4AaABAg"
"@d.b.485","2024-02-21T09:41:56Z","2024-02-21T09:41:56Z","0","Блять народ у меня rtx 4090, 14900К и единственная игра к которой у меня претензии это CS ебаная 2.","Top Level",""
"@user-rb3hv9zl4f","2024-02-20T22:55:24Z","2024-02-20T22:55:24Z","0","3070ti+12600kf. на макс настройках стабильно 200-350 фпс (в зависимости от карты/мест итд). но иногда так лагает (например, тпает на милисекунду обратно), будто пинг под сотку. причем всегда было нормально. тут на три недели выпал из кс, скачал обновления, и только после этого начался этот ужас. изменение пакетов и микро в настройках не помогло.","Top Level",""
"@dekuk1d470","2024-02-21T14:00:59Z","2024-02-21T14:00:59Z","0","поменяй винду и поставь имя на английском языке я так пофикссил свои фризы когда учетная запись была на русском супер лагала CS 2)","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@user-rb3hv9zl4f","2024-02-22T18:03:18Z","2024-02-22T18:03:18Z","1","@@dekuk1d470 попробую. В любом случае пасиб, что пытаешься помочь)","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@user-rb3hv9zl4f","2024-02-24T18:33:18Z","2024-02-24T18:33:18Z","1","@@dekuk1d470 пездец, это реально помогло)) я еще думал, почему у меня на м2 карты загружались дольше, чем у друга с ссд, теперь всё за секунды происходит. От души)","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@dekuk1d470","2024-02-24T20:31:39Z","2024-02-24T20:31:39Z","0","@@user-rb3hv9zl4f в тг подписку бы…","Reply","Ugwigg5PpntGshxYeSt4AaABAg"
"@n1pers71","2024-02-20T21:21:42Z","2024-02-20T21:21:42Z","0","Ребят поставьте чистую винду, и накатите атлас 0.3.2 и будет вам счастье","Top Level",""
"@songoku698","2024-02-20T20:48:00Z","2024-02-20T20:48:00Z","0","не возможно играть","Top Level",""
"@songoku698","2024-02-20T20:47:37Z","2024-02-20T20:47:37Z","0","спс теперь rate 300-100 до этого было 900-1000","Top Level",""
"@IlyaStoner-vb8im","2024-02-20T19:58:09Z","2024-02-20T19:58:09Z","0","После масштаба на дисплей можно закончить","Top Level",""
"@Ekage","2024-02-21T15:14:29Z","2024-02-21T15:14:29Z","0","Он все по факту сказал, масштабирование на гп кеширует файлы и передает их после этого на дисплей, а скейлинг на дисплей минует видеокарту и отправляет данные сразу в монитор тем самым изображение поступает быстрее потому что не проходит путь через дополнительную обработку видеокартой","Reply","Ugy43wO4A1De2weCX-94AaABAg"
"@toxavi2053","2024-02-22T03:15:03Z","2024-02-22T03:15:03Z","0","Так что ставить надо ГП  ,displey?😅","Reply","Ugy43wO4A1De2weCX-94AaABAg"
"@Ekage","2024-02-22T07:08:57Z","2024-02-22T07:08:57Z","0","@@toxavi2053 дисплей ставь если монитор не зови","Reply","Ugy43wO4A1De2weCX-94AaABAg"
"@dekuk1d470","2024-02-22T16:09:29Z","2024-02-22T16:09:29Z","0","@@toxavi2053не зови монитор ставь дисплей если зови то гп","Reply","Ugy43wO4A1De2weCX-94AaABAg"
"@dekuk1d470","2024-02-22T16:09:36Z","2024-02-22T16:09:36Z","0","))","Reply","Ugy43wO4A1De2weCX-94AaABAg"
"@IlyaStoner-vb8im","2024-02-24T21:41:58Z","2024-02-24T21:41:58Z","0","@@toxavi2053 всегда ГП","Reply","Ugy43wO4A1De2weCX-94AaABAg"
"@kishi_qt9890","2024-02-20T15:39:02Z","2024-02-20T15:39:02Z","0","benq старый 2011года&lt; гп или дисплей?) с дисплеем ультрадолгий альтаб при разном разрешении в игре и нарабочем столе происходит, если гп то все быстро, но в целом тогда что ставить?","Top Level",""
"@dekuk1d470","2024-02-20T17:58:26Z","2024-02-20T17:58:26Z","0","да лучше гп","Reply","UgzlpJl-UTzPq92oye94AaABAg"
"@blackaze5361","2024-02-20T10:27:18Z","2024-02-20T10:27:18Z","0","даже на benq можно поставить дисплей скэйлинг, нужно использовать программу CRU","Top Level",""
"@dekuk1d470","2024-02-20T10:29:52Z","2024-02-20T10:29:52Z","0","эт понятно но сенса не та на хл2546к на дисплее не то было на гп ваще анлак","Reply","UgyIprKRM8Ve23Q4Bep4AaABAg"
"@neil6550","2024-02-20T10:06:21Z","2024-02-20T10:06:21Z","1","Вхахахахаха насмешнил, просто качаете винду 10 ltsc или PRO и оптимизируете её по гайду(но не по этому) вот и всё, а тип у вас может просто данные спиздить","Top Level",""
"@dekuk1d470","2024-02-20T13:23:37Z","2024-02-20T13:23:37Z","0","ХАХАХАА КАК Я ДАННЫЕ УКРАДУ ТЫ ЧЕ ВАЩЕ АЛКАШ","Reply","UgxkZCyeJFlnpyf_3QF4AaABAg"
"@neil6550","2024-02-20T19:10:38Z","2024-02-20T19:10:38Z","0","@@dekuk1d470 стиллер в файлы закинул и всë тип даже не заметит нечего, заметит только тогда когда активность увидит на его соц.сетях и в стиме","Reply","UgxkZCyeJFlnpyf_3QF4AaABAg"
"@dekuk1d470","2024-02-20T22:19:28Z","2024-02-20T22:19:28Z","0","ладно иван золо умный","Reply","UgxkZCyeJFlnpyf_3QF4AaABAg"
"@p0gocsgo629","2024-02-19T23:13:41Z","2024-02-19T23:13:41Z","0","можешь пж подсказать, какие шансы выжать нормик фпс из 1060 3гб, i5 64x, ну и монитор хз он не влияет на фпс (наверное) 144гц аос?","Top Level",""
"@MrRazor7sk","2024-02-20T23:20:48Z","2024-02-20T23:20:48Z","0","с i5 6400 габела считай, 4 ядра 4 потока, нужно менять проц","Reply","UgzttaCgOF6yNyU_ayR4AaABAg"
"@flashb1t.829","2024-02-28T23:13:04Z","2024-02-28T23:13:04Z","0","нулевые к сожалению, процессор под смену, сидел сам на i3 10100 ( по сути аналог i7 6700 ) и ваще не оч было, купил i7 10700 на фасике фпс дропается на фасике, ммчик идеально летает <br>@@MrRazor7sk","Reply","UgzttaCgOF6yNyU_ayR4AaABAg"
"@MrRazor7sk","2024-02-28T23:19:11Z","2024-02-28T23:19:11Z","0","бери райзен платформу, лучше для игр из-за L3 cache, меньше просадки фпс, у меня 5600х 3060 полет норм","Reply","UgzttaCgOF6yNyU_ayR4AaABAg"
"@p0gocsgo629","2024-02-19T23:07:36Z","2024-02-19T23:07:36Z","0","бро, того рот, я только что пытался настроить кс и комп под 1060 3гб, чуть не вскрылся. выключил пк на нервах, уже был готов продавать все под чистую. если завтра я сделаю все по твоей стратегии и все будет чики пуки, я поставлю за тебя свечу","Top Level",""
"@dekuk1d470","2024-02-19T23:12:11Z","2024-02-19T23:12:11Z","0","хаахха базар","Reply","UgwPZb9a6PyJgVLftzV4AaABAg"
"@user-bv3lr5xq1r","2024-02-21T20:31:19Z","2024-02-21T20:31:19Z","0","Ну и как ?","Reply","UgwPZb9a6PyJgVLftzV4AaABAg"
"@p0gocsgo629","2024-02-22T11:59:22Z","2024-02-22T11:59:22Z","0","@@user-bv3lr5xq1rбро, ну смотри, я настроил, все как будто лучше стало, но все равно есть микрофризы, я думаю что по большей части проблема состоит в том что у меня слабая оперативка, и я практически ничего не менял в биосе","Reply","UgwPZb9a6PyJgVLftzV4AaABAg"
"@netessov_a6422","2024-02-28T05:56:41Z","2024-02-28T05:56:41Z","0","походу все таки продал хахааха@@user-bv3lr5xq1r","Reply","UgwPZb9a6PyJgVLftzV4AaABAg"
"@ZERGGXDMAIN","2024-02-19T16:48:46Z","2024-02-19T16:48:46Z","0","брат,  ты используешь какие то параметры запуска?<br>если, да то скажи какие плиз","Top Level",""
"@dekuk1d470","2024-02-21T14:00:30Z","2024-02-21T14:00:30Z","0","-nojoy -freq 144 да и все как будто больше и не надо ну и если у тебя процессор от инетл 12+линейки -threads 9 ставишь чтоб все ядра в контре работали","Reply","Ugxdlw4IjmZCV4i502F4AaABAg"
"@RWRSmyatankA","2024-02-19T09:52:04Z","2024-02-19T09:52:04Z","0","А папочку с настройками для винды ты скорее всего взял у Kazzka )))","Top Level",""
"@dekuk1d470","2024-02-19T09:54:44Z","2024-02-19T09:54:44Z","0","да нет сам создал а че там такого нвм слимер)) отключение приколов у иосифа и все это дефолт","Reply","UgxZy_MiK0PEsfBwlwF4AaABAg"
"@RWRSmyatankA","2024-02-19T10:00:09Z","2024-02-19T10:00:09Z","0","@@dekuk1d470 да, дефолт согласен 🤝🏻","Reply","UgxZy_MiK0PEsfBwlwF4AaABAg"
